id,title,state,priority,fix
GAP-001,"상품 상업 이용 권리·승인 원장",BLOCKED_EXTERNAL,100,"실상품 권리·공급자 계약"
GAP-002,"기획·공개판·Worker 기준선 불일치",PARTIAL,92,"단일 release manifest"
GAP-003,"실제 바코드 스캔·미등록 복구",UNVERIFIED,95,"Android 카메라 시험"
GAP-004,"가격·재고·배송 신선도·정확 SKU",MISSING,100,"판매처 API/승인"
GAP-005,"내보내기·복원·기기 전환 사용자 검증",PARTIAL,77,"사용자 왕복 5건"
GAP-006,"Google OAuth·계정 삭제 왕복",BLOCKED_EXTERNAL,100,"WeSaver secrets"
GAP-007,"운영자 신원·비공개 지원·법률 문서",UNKNOWN,93,"사업자 결정"
GAP-008,"Android/iOS 실기기 행렬",NOT_RUN,92,"기기 3종"
GAP-009,"스크린리더·실제 접근성 증거",UNVERIFIED,85,"보조기술 시험"
GAP-010,"실사용자 5명 과업 성공",NOT_RUN,95,"사람 모집"
GAP-011,"공개 성능·장애 관측",PARTIAL,80,"RUM/오류 경보"
GAP-012,"광고·affiliate 승인·고지",UNKNOWN,81,"계약·CMP"
GAP-013,"공식 판매·성분 연결",MISSING,83,"공급자/출처 계약"
GAP-014,"상품별 신선도 자동 갱신",PARTIAL,87,"scheduled refresh"
GAP-015,"원본-공개-R2 동기화 자동화",PARTIAL,92,"checksum pipeline"
GAP-016,"공급망·secret rotation·CSP",PARTIAL,85,"운영 정책"
GAP-017,"장애·정정·회수 훈련",NOT_RUN,85,"복구 drill"
GAP-018,"대량 카탈로그 성능",UNVERIFIED,75,"50k SKU 부하"
GAP-019,"후기·랭킹 조작 방어",NOT_APPLICABLE_NOW,88,"후기 기능 개통 전"
GAP-020,"다국가·언어·법역 범위",PARTIAL,85,"국가별 scope"
GAP-021,"Cloudflare production secret 주입",BLOCKED_EXTERNAL,100,"운영 권한"
GAP-022,"읽기 API 외 쓰기 API 이주",MISSING,98,"D1 계약"
GAP-023,"정책 페이지의 OAuth 문구 정합성",PARTIAL,70,"문구 검토"
GAP-024,"QR 대표 주소",RESOLVED,20,"2026-09-09 QR 재생성"
GAP-025,"공개 대시보드·진척 데이터 최신성",PARTIAL,68,"release sync"
